#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00006
     0.03226     0.29032     0.00016
     0.03226     0.32258     0.00052
     0.03226     0.35484     0.00993
     0.03226     0.38710     0.01898
     0.03226     0.41935     0.02602
     0.03226     0.45161     0.03104
     0.03226     0.48387     0.03371
     0.03226     0.51613     0.03373
     0.03226     0.54839     0.03109
     0.03226     0.58065     0.02609
     0.03226     0.61290     0.01905
     0.03226     0.64516     0.00997
     0.03226     0.67742     0.00052
     0.03226     0.70968     0.00016
     0.03226     0.74194     0.00006
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00001
     0.06452     0.22581     0.00021
     0.06452     0.25806     0.00679
     0.06452     0.29032     0.01755
     0.06452     0.32258     0.03379
     0.06452     0.35484     0.06247
     0.06452     0.38710     0.09330
     0.06452     0.41935     0.12120
     0.06452     0.45161     0.14249
     0.06452     0.48387     0.15410
     0.06452     0.51613     0.15418
     0.06452     0.54839     0.14272
     0.06452     0.58065     0.12153
     0.06452     0.61290     0.09365
     0.06452     0.64516     0.06277
     0.06452     0.67742     0.03399
     0.06452     0.70968     0.01768
     0.06452     0.74194     0.00684
     0.06452     0.77419     0.00021
     0.06452     0.80645     0.00001
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00001
     0.09677     0.19355     0.00027
     0.09677     0.22581     0.01051
     0.09677     0.25806     0.03450
     0.09677     0.29032     0.07090
     0.09677     0.32258     0.12145
     0.09677     0.35484     0.18765
     0.09677     0.38710     0.26059
     0.09677     0.41935     0.32948
     0.09677     0.45161     0.38345
     0.09677     0.48387     0.41325
     0.09677     0.51613     0.41349
     0.09677     0.54839     0.38411
     0.09677     0.58065     0.33043
     0.09677     0.61290     0.26164
     0.09677     0.64516     0.18861
     0.09677     0.67742     0.12222
     0.09677     0.70968     0.07143
     0.09677     0.74194     0.03479
     0.09677     0.77419     0.01061
     0.09677     0.80645     0.00028
     0.09677     0.83871     0.00001
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00001
     0.12903     0.16129     0.00027
     0.12903     0.19355     0.01154
     0.12903     0.22581     0.04220
     0.12903     0.25806     0.09630
     0.12903     0.29032     0.17720
     0.12903     0.32258     0.28691
     0.12903     0.35484     0.42253
