#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00001
     0.03226     0.25806     0.00016
     0.03226     0.29032     0.00043
     0.03226     0.32258     0.00129
     0.03226     0.35484     0.02339
     0.03226     0.38710     0.04243
     0.03226     0.41935     0.05524
     0.03226     0.45161     0.06330
     0.03226     0.48387     0.06725
     0.03226     0.51613     0.06725
     0.03226     0.54839     0.06330
     0.03226     0.58065     0.05524
     0.03226     0.61290     0.04243
     0.03226     0.64516     0.02339
     0.03226     0.67742     0.00129
     0.03226     0.70968     0.00043
     0.03226     0.74194     0.00016
     0.03226     0.77419     0.00001
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00002
     0.06452     0.22581     0.00067
     0.06452     0.25806     0.02017
     0.06452     0.29032     0.04791
     0.06452     0.32258     0.08379
     0.06452     0.35484     0.14224
     0.06452     0.38710     0.19701
     0.06452     0.41935     0.24006
     0.06452     0.45161     0.26926
     0.06452     0.48387     0.28396
     0.06452     0.51613     0.28396
     0.06452     0.54839     0.26926
     0.06452     0.58065     0.24006
     0.06452     0.61290     0.19701
     0.06452     0.64516     0.14224
     0.06452     0.67742     0.08379
     0.06452     0.70968     0.04791
     0.06452     0.74194     0.02017
     0.06452     0.77419     0.00067
     0.06452     0.80645     0.00002
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00003
     0.09677     0.19355     0.00096
     0.09677     0.22581     0.03400
     0.09677     0.25806     0.10147
     0.09677     0.29032     0.18678
     0.09677     0.32258     0.28500
     0.09677     0.35484     0.39495
     0.09677     0.38710     0.49794
     0.09677     0.41935     0.58134
     0.09677     0.45161     0.63889
     0.09677     0.48387     0.66804
     0.09677     0.51613     0.66804
     0.09677     0.54839     0.63889
     0.09677     0.58065     0.58134
     0.09677     0.61290     0.49794
     0.09677     0.64516     0.39495
     0.09677     0.67742     0.28500
     0.09677     0.70968     0.18678
     0.09677     0.74194     0.10147
     0.09677     0.77419     0.03400
     0.09677     0.80645     0.00096
     0.09677     0.83871     0.00003
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00003
     0.12903     0.16129     0.00110
     0.12903     0.19355     0.04216
     0.12903     0.22581     0.13733
     0.12903     0.25806     0.27486
     0.12903     0.29032     0.43897
     0.12903     0.32258     0.61561
     0.12903     0.35484     0.79094
