#  x座標 　y座標  波動関数密度 という順で出力してます
     0.22581     0.58065     3.64595
     0.22581     0.61290     2.42972
     0.22581     0.64516     1.36752
     0.22581     0.67742     0.62013
     0.22581     0.70968     0.20342
     0.22581     0.74194     0.03423
     0.22581     0.77419     0.00000
     0.22581     0.80645     0.01128
     0.22581     0.83871     0.02092
     0.22581     0.87097     0.01716
     0.22581     0.90323     0.00672
     0.22581     0.93548     0.00018
     0.22581     0.96774     0.00000
 
     0.25806     0.03226     0.00007
     0.25806     0.06452     0.00770
     0.25806     0.09677     0.03139
     0.25806     0.12903     0.06370
     0.25806     0.16129     0.08585
     0.25806     0.19355     0.07700
     0.25806     0.22581     0.03423
     0.25806     0.25806     0.00000
     0.25806     0.29032     0.07983
     0.25806     0.32258     0.42522
     0.25806     0.35484     1.16725
     0.25806     0.38710     2.31955
     0.25806     0.41935     3.70684
     0.25806     0.45161     4.98187
     0.25806     0.48387     5.75049
     0.25806     0.51613     5.75049
     0.25806     0.54839     4.98187
     0.25806     0.58065     3.70684
     0.25806     0.61290     2.31955
     0.25806     0.64516     1.16725
     0.25806     0.67742     0.42522
     0.25806     0.70968     0.07983
     0.25806     0.74194     0.00000
     0.25806     0.77419     0.03423
     0.25806     0.80645     0.07700
     0.25806     0.83871     0.08585
     0.25806     0.87097     0.06370
     0.25806     0.90323     0.03139
     0.25806     0.93548     0.00770
     0.25806     0.96774     0.00007
 
     0.29032     0.03226     0.00023
     0.29032     0.06452     0.02477
     0.29032     0.09677     0.08517
     0.29032     0.12903     0.16754
     0.29032     0.16129     0.24150
     0.29032     0.19355     0.26403
     0.29032     0.22581     0.20342
     0.29032     0.25806     0.07983
     0.29032     0.29032     0.00000
     0.29032     0.32258     0.14971
     0.29032     0.35484     0.71818
     0.29032     0.38710     1.77271
     0.29032     0.41935     3.15462
     0.29032     0.45161     4.48362
     0.29032     0.48387     5.30338
     0.29032     0.51613     5.30338
     0.29032     0.54839     4.48362
     0.29032     0.58065     3.15462
     0.29032     0.61290     1.77271
     0.29032     0.64516     0.71818
     0.29032     0.67742     0.14971
     0.29032     0.70968     0.00000
     0.29032     0.74194     0.07983
     0.29032     0.77419     0.20342
     0.29032     0.80645     0.26403
     0.29032     0.83871     0.24150
     0.29032     0.87097     0.16754
     0.29032     0.90323     0.08517
     0.29032     0.93548     0.02477
     0.29032     0.96774     0.00023
 
     0.32258     0.03226     0.00099
     0.32258     0.06452     0.05837
     0.32258     0.09677     0.18296
     0.32258     0.12903     0.35608
     0.32258     0.16129     0.53549
     0.32258     0.19355     0.64883
     0.32258     0.22581     0.62013
     0.32258     0.25806     0.42522
     0.32258     0.29032     0.14971
     0.32258     0.32258     0.00000
     0.32258     0.35484     0.22690
     0.32258     0.38710     0.97442
     0.32258     0.41935     2.13865
     0.32258     0.45161     3.34914
     0.32258     0.48387     4.12363
     0.32258     0.51613     4.12363
     0.32258     0.54839     3.34914
     0.32258     0.58065     2.13865
     0.32258     0.61290     0.97442
     0.32258     0.64516     0.22690
     0.32258     0.67742     0.00000
     0.32258     0.70968     0.14971
     0.32258     0.74194     0.42522
     0.32258     0.77419     0.62013
     0.32258     0.80645     0.64883
     0.32258     0.83871     0.53549
     0.32258     0.87097     0.35608
     0.32258     0.90323     0.18296
     0.32258     0.93548     0.05837
     0.32258     0.96774     0.00099
 
     0.35484     0.03226     0.02231
     0.35484     0.06452     0.12746
     0.35484     0.09677     0.33797
     0.35484     0.12903     0.64490
     0.35484     0.16129     0.99459
     0.35484     0.19355     1.27998
     0.35484     0.22581     1.36752
     0.35484     0.25806     1.16725
     0.35484     0.29032     0.71818
     0.35484     0.32258     0.22690
     0.35484     0.35484     0.00000
     0.35484     0.38710     0.27343
     0.35484     0.41935     1.03308
     0.35484     0.45161     1.96396
     0.35484     0.48387     2.60003
     0.35484     0.51613     2.60003
     0.35484     0.54839     1.96396
     0.35484     0.58065     1.03308
     0.35484     0.61290     0.27343
     0.35484     0.64516     0.00000
     0.35484     0.67742     0.22690
     0.35484     0.70968     0.71818
     0.35484     0.74194     1.16725
     0.35484     0.77419     1.36752
     0.35484     0.80645     1.27998
     0.35484     0.83871     0.99459
     0.35484     0.87097     0.64490
     0.35484     0.90323     0.33797
     0.35484     0.93548     0.12746
     0.35484     0.96774     0.02231
 
     0.38710     0.03226     0.04684
     0.38710     0.06452     0.21394
     0.38710     0.09677     0.53576
     0.38710     0.12903     1.01569
     0.38710     0.16129     1.59442
     0.38710     0.19355     2.13140
     0.38710     0.22581     2.42972
     0.38710     0.25806     2.31955
     0.38710     0.29032     1.77271
     0.38710     0.32258     0.97442
     0.38710     0.35484     0.27343
     0.38710     0.38710     0.00000
     0.38710     0.41935     0.25093
     0.38710     0.45161     0.80136
     0.38710     0.48387     1.23725
     0.38710     0.51613     1.23725
     0.38710     0.54839     0.80136
     0.38710     0.58065     0.25093
     0.38710     0.61290     0.00000
     0.38710     0.64516     0.27343
     0.38710     0.67742     0.97442
     0.38710     0.70968     1.77271
     0.38710     0.74194     2.31955
     0.38710     0.77419     2.42972
     0.38710     0.80645     2.13140
     0.38710     0.83871     1.59442
     0.38710     0.87097     1.01569
     0.38710     0.90323     0.53576
     0.38710     0.93548     0.21394
     0.38710     0.96774     0.04684
 
     0.41935     0.03226     0.06901
     0.41935     0.06452     0.30187
     0.41935     0.09677     0.74399
     0.41935     0.12903     1.41181
     0.41935     0.16129     2.24501
     0.41935     0.19355     3.07518
     0.41935     0.22581     3.64595
     0.41935     0.25806     3.70684
     0.41935     0.29032     3.15462
     0.41935     0.32258     2.13865
     0.41935     0.35484     1.03308
     0.41935     0.38710     0.25093
     0.41935     0.41935     0.00000
     0.41935     0.45161     0.15802
     0.41935     0.48387     0.38116
     0.41935     0.51613     0.38116
     0.41935     0.54839     0.15802
     0.41935     0.58065     0.00000
     0.41935     0.61290     0.25093
     0.41935     0.64516     1.03308
     0.41935     0.67742     2.13865
     0.41935     0.70968     3.15462
     0.41935     0.74194     3.70684
     0.41935     0.77419     3.64595
     0.41935     0.80645     3.07518
     0.41935     0.83871     2.24501
     0.41935     0.87097     1.41181
     0.41935     0.90323     0.74399
     0.41935     0.93548     0.30187
     0.41935     0.96774     0.06901
 
     0.45161     0.03226     0.08640
     0.45161     0.06452     0.37439
     0.45161     0.09677     0.91952
     0.45161     0.12903     1.74972
     0.45161     0.16129     2.80618
     0.45161     0.19355     3.90090
     0.45161     0.22581     4.73155
     0.45161     0.25806     4.98187
     0.45161     0.29032     4.48362
     0.45161     0.32258     3.34914
     0.45161     0.35484     1.96396
     0.45161     0.38710     0.80136
     0.45161     0.41935     0.15802
     0.45161     0.45161     0.00000
     0.45161     0.48387     0.04867
     0.45161     0.51613     0.04867
     0.45161     0.54839     0.00000
     0.45161     0.58065     0.15802
     0.45161     0.61290     0.80136
     0.45161     0.64516     1.96396
     0.45161     0.67742     3.34914
     0.45161     0.70968     4.48362
     0.45161     0.74194     4.98187
     0.45161     0.77419     4.73155
     0.45161     0.80645     3.90090
     0.45161     0.83871     2.80618
     0.45161     0.87097     1.74972
     0.45161     0.90323     0.91952
     0.45161     0.93548     0.37439
     0.45161     0.96774     0.08640
 
     0.48387     0.03226     0.09610
     0.48387     0.06452     0.41559
     0.48387     0.09677     1.02035
     0.48387     0.12903     1.94520
     0.48387     0.16129     3.13295
     0.48387     0.19355     4.38564
     0.48387     0.22581     5.37588
     0.48387     0.25806     5.75049
     0.48387     0.29032     5.30338
     0.48387     0.32258     4.12363
     0.48387     0.35484     2.60003
     0.48387     0.38710     1.23725
     0.48387     0.41935     0.38116
     0.48387     0.45161     0.04867
     0.48387     0.48387     0.00000
     0.48387     0.51613     0.00000
     0.48387     0.54839     0.04867
     0.48387     0.58065     0.38116
     0.48387     0.61290     1.23725
     0.48387     0.64516     2.60003
     0.48387     0.67742     4.12363
     0.48387     0.70968     5.30338
     0.48387     0.74194     5.75049
     0.48387     0.77419     5.37588
     0.48387     0.80645     4.38564
     0.48387     0.83871     3.13295
     0.48387     0.87097     1.94520
     0.48387     0.90323     1.02035
     0.48387     0.93548     0.41559
     0.48387     0.96774     0.09610
 
     0.51613     0.03226     0.09610
     0.51613     0.06452     0.41559
     0.51613     0.09677     1.02035
     0.51613     0.12903     1.94520
     0.51613     0.16129     3.13295
     0.51613     0.19355     4.38564
     0.51613     0.22581     5.37588
     0.51613     0.25806     5.75049
     0.51613     0.29032     5.30338
     0.51613     0.32258     4.12363
     0.51613     0.35484     2.60003
     0.51613     0.38710     1.23725
     0.51613     0.41935     0.38116
     0.51613     0.45161     0.04867
     0.51613     0.48387     0.00000
     0.51613     0.51613     0.00000
     0.51613     0.54839     0.04867
     0.51613     0.58065     0.38116
     0.51613     0.61290     1.23725
     0.51613     0.64516     2.60003
     0.51613     0.67742     4.12363
     0.51613     0.70968     5.30338
     0.51613     0.74194     5.75049
     0.51613     0.77419     5.37588
     0.51613     0.80645     4.38564
     0.51613     0.83871     3.13295
     0.51613     0.87097     1.94520
     0.51613     0.90323     1.02035
     0.51613     0.93548     0.41559
     0.51613     0.96774     0.09610
 
     0.54839     0.03226     0.08640
     0.54839     0.06452     0.37439
     0.54839     0.09677     0.91952
     0.54839     0.12903     1.74972
     0.54839     0.16129     2.80618
     0.54839     0.19355     3.90090
     0.54839     0.22581     4.73155
     0.54839     0.25806     4.98187
     0.54839     0.29032     4.48362
     0.54839     0.32258     3.34914
     0.54839     0.35484     1.96396
     0.54839     0.38710     0.80136
     0.54839     0.41935     0.15802
     0.54839     0.45161     0.00000
     0.54839     0.48387     0.04867
     0.54839     0.51613     0.04867
     0.54839     0.54839     0.00000
     0.54839     0.58065     0.15802
     0.54839     0.61290     0.80136
     0.54839     0.64516     1.96396
     0.54839     0.67742     3.34914
     0.54839     0.70968     4.48362
     0.54839     0.74194     4.98187
     0.54839     0.77419     4.73155
     0.54839     0.80645     3.90090
     0.54839     0.83871     2.80618
     0.54839     0.87097     1.74972
     0.54839     0.90323     0.91952
     0.54839     0.93548     0.37439
     0.54839     0.96774     0.08640
 
     0.58065     0.03226     0.06901
     0.58065     0.06452     0.30187
     0.58065     0.09677     0.74399
     0.58065     0.12903     1.41181
     0.58065     0.16129     2.24501
     0.58065     0.19355     3.07518
     0.58065     0.22581     3.64595
     0.58065     0.25806     3.70684
     0.58065     0.29032     3.15462
     0.58065     0.32258     2.13865
     0.58065     0.35484     1.03308
     0.58065     0.38710     0.25093
     0.58065     0.41935     0.00000
     0.58065     0.45161     0.15802
     0.58065     0.48387     0.38116
     0.58065     0.51613     0.38116
     0.58065     0.54839     0.15802
     0.58065     0.58065     0.00000
     0.58065     0.61290     0.25093
     0.58065     0.64516     1.03308
     0.58065     0.67742     2.13865
     0.58065     0.70968     3.15462
     0.58065     0.74194     3.70684
     0.58065     0.77419     3.64595
     0.58065     0.80645     3.07518
     0.58065     0.83871     2.24501
     0.58065     0.87097     1.41181
     0.58065     0.90323     0.74399
     0.58065     0.93548     0.30187
     0.58065     0.96774     0.06901
 
     0.61290     0.03226     0.04684
     0.61290     0.06452     0.21394
     0.61290     0.09677     0.53576
     0.61290     0.12903     1.01569
     0.61290     0.16129     1.59442
     0.61290     0.19355     2.13140
     0.61290     0.22581     2.42972
     0.61290     0.25806     2.31955
     0.61290     0.29032     1.77271
     0.61290     0.32258     0.97442
     0.61290     0.35484     0.27343
     0.61290     0.38710     0.00000
     0.61290     0.41935     0.25093
     0.61290     0.45161     0.80136
     0.61290     0.48387     1.23725
     0.61290     0.51613     1.23725
     0.61290     0.54839     0.80136
     0.61290     0.58065     0.25093
     0.61290     0.61290     0.00000
     0.61290     0.64516     0.27343
     0.61290     0.67742     0.97442
     0.61290     0.70968     1.77271
     0.61290     0.74194     2.31955
     0.61290     0.77419     2.42972
     0.61290     0.80645     2.13140
     0.61290     0.83871     1.59442
     0.61290     0.87097     1.01569
     0.61290     0.90323     0.53576
     0.61290     0.93548     0.21394
     0.61290     0.96774     0.04684
 
     0.64516     0.03226     0.02231
     0.64516     0.06452     0.12746
     0.64516     0.09677     0.33797
     0.64516     0.12903     0.64490
     0.64516     0.16129     0.99459
     0.64516     0.19355     1.27998
     0.64516     0.22581     1.36752
     0.64516     0.25806     1.16725
     0.64516     0.29032     0.71818
     0.64516     0.32258     0.22690
     0.64516     0.35484     0.00000
     0.64516     0.38710     0.27343
     0.64516     0.41935     1.03308
     0.64516     0.45161     1.96396
     0.64516     0.48387     2.60003
     0.64516     0.51613     2.60003
     0.64516     0.54839     1.96396
     0.64516     0.58065     1.03308
     0.64516     0.61290     0.27343
     0.64516     0.64516     0.00000
     0.64516     0.67742     0.22690
     0.64516     0.70968     0.71818
