#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00001
     0.03226     0.29032     0.00002
     0.03226     0.32258     0.00005
     0.03226     0.35484     0.00093
     0.03226     0.38710     0.00175
     0.03226     0.41935     0.00237
     0.03226     0.45161     0.00281
     0.03226     0.48387     0.00304
     0.03226     0.51613     0.00304
     0.03226     0.54839     0.00281
     0.03226     0.58065     0.00237
     0.03226     0.61290     0.00175
     0.03226     0.64516     0.00093
     0.03226     0.67742     0.00005
     0.03226     0.70968     0.00002
     0.03226     0.74194     0.00001
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00000
     0.06452     0.22581     0.00002
     0.06452     0.25806     0.00074
     0.06452     0.29032     0.00185
     0.06452     0.32258     0.00346
     0.06452     0.35484     0.00622
     0.06452     0.38710     0.00912
     0.06452     0.41935     0.01173
     0.06452     0.45161     0.01370
     0.06452     0.48387     0.01478
     0.06452     0.51613     0.01478
     0.06452     0.54839     0.01370
     0.06452     0.58065     0.01173
     0.06452     0.61290     0.00912
     0.06452     0.64516     0.00622
     0.06452     0.67742     0.00346
     0.06452     0.70968     0.00185
     0.06452     0.74194     0.00074
     0.06452     0.77419     0.00002
     0.06452     0.80645     0.00000
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00000
     0.09677     0.19355     0.00004
     0.09677     0.22581     0.00128
     0.09677     0.25806     0.00403
     0.09677     0.29032     0.00805
     0.09677     0.32258     0.01347
     0.09677     0.35484     0.02041
     0.09677     0.38710     0.02797
     0.09677     0.41935     0.03506
     0.09677     0.45161     0.04058
     0.09677     0.48387     0.04361
     0.09677     0.51613     0.04361
     0.09677     0.54839     0.04058
     0.09677     0.58065     0.03506
     0.09677     0.61290     0.02797
     0.09677     0.64516     0.02041
     0.09677     0.67742     0.01347
     0.09677     0.70968     0.00805
     0.09677     0.74194     0.00403
     0.09677     0.77419     0.00128
     0.09677     0.80645     0.00004
     0.09677     0.83871     0.00000
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00000
     0.12903     0.16129     0.00004
     0.12903     0.19355     0.00165
     0.12903     0.22581     0.00571
     0.12903     0.25806     0.01255
     0.12903     0.29032     0.02249
     0.12903     0.32258     0.03572
     0.12903     0.35484     0.05184
