#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00002
     0.03226     0.29032     0.00003
     0.03226     0.32258     0.00007
     0.03226     0.35484     0.00091
     0.03226     0.38710     0.00110
     0.03226     0.41935     0.00077
     0.03226     0.45161     0.00031
     0.03226     0.48387     0.00002
     0.03226     0.51613     0.00008
     0.03226     0.54839     0.00046
     0.03226     0.58065     0.00098
     0.03226     0.61290     0.00131
     0.03226     0.64516     0.00105
     0.03226     0.67742     0.00008
     0.03226     0.70968     0.00004
     0.03226     0.74194     0.00002
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00000
     0.06452     0.22581     0.00008
     0.06452     0.25806     0.00206
     0.06452     0.29032     0.00413
     0.06452     0.32258     0.00565
     0.06452     0.35484     0.00684
     0.06452     0.38710     0.00614
     0.06452     0.41935     0.00399
     0.06452     0.45161     0.00157
     0.06452     0.48387     0.00012
     0.06452     0.51613     0.00038
     0.06452     0.54839     0.00230
     0.06452     0.58065     0.00502
     0.06452     0.61290     0.00724
     0.06452     0.64516     0.00778
     0.06452     0.67742     0.00627
     0.06452     0.70968     0.00451
     0.06452     0.74194     0.00223
     0.06452     0.77419     0.00009
     0.06452     0.80645     0.00000
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00000
     0.09677     0.19355     0.00015
     0.09677     0.22581     0.00465
     0.09677     0.25806     0.01213
     0.09677     0.29032     0.01899
     0.09677     0.32258     0.02329
     0.09677     0.35484     0.02387
     0.09677     0.38710     0.01980
     0.09677     0.41935     0.01244
     0.09677     0.45161     0.00485
     0.09677     0.48387     0.00038
     0.09677     0.51613     0.00113
     0.09677     0.54839     0.00693
     0.09677     0.58065     0.01542
     0.09677     0.61290     0.02309
     0.09677     0.64516     0.02690
     0.09677     0.67742     0.02569
     0.09677     0.70968     0.02064
     0.09677     0.74194     0.01305
     0.09677     0.77419     0.00497
     0.09677     0.80645     0.00016
     0.09677     0.83871     0.00000
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00001
     0.12903     0.16129     0.00022
     0.12903     0.19355     0.00761
     0.12903     0.22581     0.02238
     0.12903     0.25806     0.04007
     0.12903     0.29032     0.05566
     0.12903     0.32258     0.06448
     0.12903     0.35484     0.06314
