#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00002
     0.03226     0.29032     0.00004
     0.03226     0.32258     0.00008
     0.03226     0.35484     0.00100
     0.03226     0.38710     0.00124
     0.03226     0.41935     0.00091
     0.03226     0.45161     0.00041
     0.03226     0.48387     0.00006
     0.03226     0.51613     0.00004
     0.03226     0.54839     0.00036
     0.03226     0.58065     0.00084
     0.03226     0.61290     0.00117
     0.03226     0.64516     0.00096
     0.03226     0.67742     0.00008
     0.03226     0.70968     0.00004
     0.03226     0.74194     0.00002
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00000
     0.06452     0.22581     0.00008
     0.06452     0.25806     0.00217
     0.06452     0.29032     0.00438
     0.06452     0.32258     0.00606
     0.06452     0.35484     0.00745
     0.06452     0.38710     0.00685
     0.06452     0.41935     0.00465
     0.06452     0.45161     0.00204
     0.06452     0.48387     0.00028
     0.06452     0.51613     0.00019
     0.06452     0.54839     0.00180
     0.06452     0.58065     0.00433
     0.06452     0.61290     0.00650
     0.06452     0.64516     0.00715
     0.06452     0.67742     0.00586
     0.06452     0.70968     0.00426
     0.06452     0.74194     0.00212
     0.06452     0.77419     0.00008
     0.06452     0.80645     0.00000
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00000
     0.09677     0.19355     0.00016
     0.09677     0.22581     0.00486
     0.09677     0.25806     0.01273
     0.09677     0.29032     0.02007
     0.09677     0.32258     0.02486
     0.09677     0.35484     0.02585
     0.09677     0.38710     0.02194
     0.09677     0.41935     0.01437
     0.09677     0.45161     0.00618
     0.09677     0.48387     0.00083
     0.09677     0.51613     0.00059
     0.09677     0.54839     0.00552
     0.09677     0.58065     0.01342
     0.09677     0.61290     0.02089
     0.09677     0.64516     0.02488
     0.09677     0.67742     0.02410
     0.09677     0.70968     0.01955
     0.09677     0.74194     0.01244
     0.09677     0.77419     0.00476
     0.09677     0.80645     0.00015
     0.09677     0.83871     0.00000
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00001
     0.12903     0.16129     0.00023
     0.12903     0.19355     0.00788
     0.12903     0.22581     0.02328
     0.12903     0.25806     0.04190
     0.12903     0.29032     0.05859
     0.12903     0.32258     0.06850
     0.12903     0.35484     0.06798
