#  x座標 　y座標  波動関数密度 という順で出力してます
     0.22581     0.58065     3.32211
     0.22581     0.61290     2.69310
     0.22581     0.64516     2.03480
     0.22581     0.67742     1.43073
     0.22581     0.70968     0.93360
     0.22581     0.74194     0.56251
     0.22581     0.77419     0.31000
     0.22581     0.80645     0.15346
     0.22581     0.83871     0.06576
     0.22581     0.87097     0.02238
     0.22581     0.90323     0.00465
     0.22581     0.93548     0.00008
     0.22581     0.96774     0.00000
 
     0.25806     0.03226     0.00002
     0.25806     0.06452     0.00223
     0.25806     0.09677     0.01305
     0.25806     0.12903     0.04285
     0.25806     0.16129     0.10873
     0.25806     0.19355     0.23629
     0.25806     0.22581     0.45897
     0.25806     0.25806     0.81330
     0.25806     0.29032     1.32864
     0.25806     0.32258     2.01256
     0.25806     0.35484     2.83575
     0.25806     0.38710     3.72352
     0.25806     0.41935     4.56100
     0.25806     0.45161     5.21495
     0.25806     0.48387     5.56765
     0.25806     0.51613     5.55125
     0.25806     0.54839     5.16903
     0.25806     0.58065     4.49429
     0.25806     0.61290     3.64755
     0.25806     0.64516     2.76164
     0.25806     0.67742     1.94853
     0.25806     0.70968     1.27889
     0.25806     0.74194     0.77831
     0.25806     0.77419     0.43668
     0.25806     0.80645     0.22351
     0.25806     0.83871     0.10226
     0.25806     0.87097     0.04007
     0.25806     0.90323     0.01213
     0.25806     0.93548     0.00206
     0.25806     0.96774     0.00002
 
     0.29032     0.03226     0.00004
     0.29032     0.06452     0.00451
     0.29032     0.09677     0.02064
     0.29032     0.12903     0.06012
     0.29032     0.16129     0.14343
     0.29032     0.19355     0.30142
     0.29032     0.22581     0.57453
     0.29032     0.25806     1.00684
     0.29032     0.29032     1.63374
     0.29032     0.32258     2.46404
     0.29032     0.35484     3.46189
     0.29032     0.38710     4.53655
     0.29032     0.41935     5.54895
     0.29032     0.45161     6.33805
     0.29032     0.48387     6.76187
     0.29032     0.51613     6.73894
     0.29032     0.54839     6.27380
     0.29032     0.58065     5.45555
     0.29032     0.61290     4.43008
     0.29032     0.64516     3.35786
     0.29032     0.67742     2.37394
     0.29032     0.70968     1.56345
     0.29032     0.74194     0.95709
     0.29032     0.77419     0.54251
     0.29032     0.80645     0.28274
     0.29032     0.83871     0.13365
     0.29032     0.87097     0.05566
     0.29032     0.90323     0.01899
     0.29032     0.93548     0.00413
     0.29032     0.96774     0.00003
 
     0.32258     0.03226     0.00008
     0.32258     0.06452     0.00627
     0.32258     0.09677     0.02569
     0.32258     0.12903     0.07061
     0.32258     0.16129     0.16305
     0.32258     0.19355     0.33627
     0.32258     0.22581     0.63373
     0.32258     0.25806     1.10278
     0.32258     0.29032     1.78124
     0.32258     0.32258     2.67818
     0.32258     0.35484     3.75441
     0.32258     0.38710     4.91178
     0.32258     0.41935     6.00028
     0.32258     0.45161     6.84669
     0.32258     0.48387     7.29873
     0.32258     0.51613     7.26952
     0.32258     0.54839     6.76485
     0.32258     0.58065     5.88125
     0.32258     0.61290     4.77600
     0.32258     0.64516     3.62160
     0.32258     0.67742     2.56296
     0.32258     0.70968     1.69114
     0.32258     0.74194     1.03876
     0.32258     0.77419     0.59226
     0.32258     0.80645     0.31182
     0.32258     0.83871     0.15003
     0.32258     0.87097     0.06448
     0.32258     0.90323     0.02329
     0.32258     0.93548     0.00565
     0.32258     0.96774     0.00007
 
     0.35484     0.03226     0.00105
     0.35484     0.06452     0.00778
     0.35484     0.09677     0.02690
     0.35484     0.12903     0.07054
     0.35484     0.16129     0.15943
     0.35484     0.19355     0.32486
     0.35484     0.22581     0.60768
     0.35484     0.25806     1.05225
     0.35484     0.29032     1.69381
     0.35484     0.32258     2.54034
     0.35484     0.35484     3.55426
     0.35484     0.38710     4.64260
     0.35484     0.41935     5.66391
     0.35484     0.45161     6.45545
     0.35484     0.48387     6.87472
     0.35484     0.51613     6.84114
     0.35484     0.54839     6.36136
     0.35484     0.58065     5.52703
     0.35484     0.61290     4.48638
     0.35484     0.64516     3.40135
     0.35484     0.67742     2.40753
     0.35484     0.70968     1.58979
     0.35484     0.74194     0.97814
     0.35484     0.77419     0.55949
     0.35484     0.80645     0.29627
     0.35484     0.83871     0.14404
     0.35484     0.87097     0.06314
     0.35484     0.90323     0.02387
     0.35484     0.93548     0.00684
     0.35484     0.96774     0.00091
 
     0.38710     0.03226     0.00131
     0.38710     0.06452     0.00724
     0.38710     0.09677     0.02309
     0.38710     0.12903     0.05873
     0.38710     0.16129     0.13085
     0.38710     0.19355     0.26439
     0.38710     0.22581     0.49183
     0.38710     0.25806     0.84831
     0.38710     0.29032     1.36145
     0.38710     0.32258     2.03690
     0.38710     0.35484     2.84398
     0.38710     0.38710     3.70800
     0.38710     0.41935     4.51613
     0.38710     0.45161     5.13922
